wallet_address,tx_hash,block_signed_at,value,from_address,to_address,gas_spent,successful
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x98703fb4a7c6804d82e98f009ecc0e089abd53de94696088fb9675dde740c570,2025-06-16T21:15:11Z,0,0xc6b602de080fc9ac9d96a431b2d749d38e77cbbc,0x13173761e24c3708495b1dd314920f67f97011d0,55815,True
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x0b8e89905717b9babd69aa7db6af0afb83331e9b804124366cee8b83f23c76f4,2025-04-27T21:09:35Z,0,0xfd0ce77ca6521e3cbbcfb07398cca8ec2648115d,,5264347,True
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x5745f6d2e9397ed8ceb7120f42761e1f04643e132e9403d41bcc6a99f660ae7a,2025-03-24T23:27:47Z,0,0xc07aff7c831105bacaf2fb4d9506332112eee2a1,,5226097,True
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x35cd404392ac9b7786bee78e4bfb2773cbb576b9c3dcfee99e296b1e06c1264a,2025-02-23T19:08:59Z,0,0xad38352c725c6768c11a9a71bc7d921a9355d56c,,5213387,True
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x51a4f04abaa498409b72d83b4365440f0738ac5bcca168734215c425c9b3151e,2025-02-11T03:05:11Z,0,0x1e6971036be043c0e2457fe3f6dbed9f73354c6b,,5244910,True
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x277853327dbae2818a30fb1ef11c6c69a040d35890ba5ea31466dfbbccd1685b,2025-02-05T01:27:23Z,0,0x2915edcf8657b7240710c6b572bc1445b6fdbd2f,,5207260,True
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x3255899957f27142732507e0672178d40ae3e3e5f2a44830cf496ef61428c3e9,2025-01-28T05:55:47Z,0,0x27a4404b6e83af57da08246d39bead9e8a773661,,5187655,True
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xd261ce945fd088d2a3a5e10c186088b656da21242a2b9545c5948daaf5106fd0,2025-01-28T03:34:59Z,0,0xde15ee4bfb38bbcc20a69b6d364a64e0c7cc1f27,,5229470,True
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x6f12c236535677f03f720ffdac732c9e115f730303ea6dbac81d603e525440ed,2025-01-12T14:47:35Z,0,0xf9f4383296abb0bd33ff90976611e86f675d0d05,0x7e9f573dd3f7a430a0cb036d95baa78478c445e2,3531966,True
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x2c8a13ae22d6f91198f16e826dbb20c9a44c97dd5d4ae1919219fd48197f5273,2025-01-09T01:13:47Z,0,0x9a3dfc6ab90744302f590fa9782875f04ea1d91e,,5200341,True
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xeb4c87b7e92b465a43340c2d68d59b36ffd94e7c18875e7276e8fd3a61b50315,2024-12-18T05:28:35Z,0,0x09f9b66625473accbb053a45b4d1097f23a9f5f5,,5207272,True
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x542fd9ed0da4e6e3d99837c3624594ea6e45a8e7c29c7ff905d8cadc0a4ea64e,2024-12-07T05:21:35Z,0,0x4e8d7f0ffabf8894d4ed8ce7814db79c2198d20a,,3495199,True
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x715f845fec51b46f5a63231e4d36db994cf2fff56cf32ba313689a5ad2337ff8,2024-10-19T02:45:11Z,0,0x58f54e724227075e3ebf1cf68aeb478f5494ab35,0x7a3e506515e58ae975d52f6909394b8edb6d9fea,4002248,True
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xa3235e1c7ee22ad6d52690f3f9faec00d18692b9763af28294fdef6e358db480,2024-10-19T01:43:11Z,0,0xca2f47c2625733f296bdfdb932910a6257d460ec,0x104ad136084e5d7d8b888186d4ee81fb63378503,4001996,True
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xbd30d41f1cc99f2a564410736939ca76f70f57520f0e4aa6189fcfe798b9cfa7,2024-10-05T01:01:11Z,0,0x7cd2ef915564dd19de09313e75f1d78bc6a4a33f,0x34a090e59d909fcfc9b93171b38248a339886542,4001780,True
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xa2223446895fb4511297d827dc787b1c43b04c945b87ae34a2d2f58ee7acc63d,2024-10-04T00:50:59Z,0,0x38cd91b743562a96ce13d1324aeb3dde12694284,0x3e1cae0ebea42058d6d13fef46753f9c8c46a245,4002212,True
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xdd6ff2145c4538b1cfddc86f85aebc7bf1835b7a0a2f7bd315543316c3adf4b4,2024-09-29T03:37:23Z,0,0x6978055cf7e52981c058d1e2115359fb6d75e3ef,0x23c367d7e143cf7a7a57df94df7008905d250a54,4002464,True
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x46713f8f3762da46dd92253a9eb998f4f1db7824a9e4c83c148970277d7a8344,2024-09-07T18:19:59Z,0,0xf12fcb7fd7b46943b1936a57c74d5b700ee0218d,0xc6d3d201530a6d4ad9dfbaad39c5f68a9a470a69,2721496,True
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x93a6059c472824b747cdb300d2158213cdcb204c00b4f07ce81b911849912c03,2024-08-31T02:20:59Z,0,0x9d6727f21c02cc720d10cbda026598acc9b89de5,0x73caa88669fdb4d499db8a7b07c3ed548e333b21,4002248,True
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x9d5b05a9c2ad22a5f0cbea27703bd6bc931c69ab05f39041d81be3508ff33412,2024-08-21T03:48:11Z,0,0x5769a9c65dfa3e2426159bda20432f46b36136f6,0xf52691e92864012eddb2d2e0f14846084812d123,4001852,True
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x4bfffe1e5bfa38f987c543cdf6467e48d7929e1a9d1a8246e317cde7fc411adb,2024-07-28T18:17:59Z,0,0xbb1730992423202115b906827e9692ed91a6b67b,0x34d35e3215ce18321f53bcf2c43200117b67757c,4001732,True
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xa0e7340a6b67143202ee02d41212a17fb33b5027ecae05aa780778629547a45d,2024-07-08T22:41:35Z,0,0x0d8fe77c9a762368291030317c0b72c74da38dac,0x08b596b55c881a5cfa8746740894772a605569b7,4001756,True
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x6f68949fa9c7d6e3acd8b4544a28d645a60ad1151fbfadb267a20e1b8a3f8846,2024-07-06T22:35:47Z,0,0xcb4b7a5114e02c144a915c05c59192a6c6f33d5a,0x3fc29836e84e471a053d2d9e80494a867d670ead,2238652,True
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x443689e264ea92d5186e1e1d25b7d3155733d2e6c4e8d64d828e11508752eadb,2024-06-23T07:45:47Z,0,0x007f4922e669c09fc1bbdf8f38ee8b31cafd6bd7,0xa0488c5ec125cb104a7e50d65d0fc4fc1fd9bc6a,4001864,True
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xc7d849dbb23b0fccb314c62d57fbd4c0c9347aa53002429690e91bd0c4c42796,2024-06-22T14:31:11Z,0,0xfe672acdabec42f65fff65834ba3b7691d9fa637,0x4c6fdc0476b2fe0daff0b5824c3a918673d6014e,2721412,True
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xdd9fcbfe85e3f6d3679076944664ab92e60354c4f4a7397c4fd7e7663472aefb,2024-06-15T03:49:23Z,0,0x6023fd3045f33762dca0731274d9947ff48fa6b7,0xa39fde03647f6fb0fbe83e6c8e9c3e307a0278df,4002200,True
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x761f8f5d3b8188eda373f70ced3a6ea9f48da65bb0cbd5db6687adea4d069713,2024-06-07T23:18:47Z,0,0x6839df99d077152e4995fc0145370bfdfe06a394,0x4022879f290cdaf12d2e3eea015071d41270e872,4002032,True
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x3a744b82e360a9aab9da113b109b34f7230c9a1203379c43d97ebea6489db356,2024-06-01T23:12:59Z,0,0x04e2dee4619ae686489736f5000452d10b86e25b,0x0187ac2bc5c734c73aa068d1aa9f0b69605cf996,4002236,True
